,hiduke,jikoku_code,power
17214,2019-01-03,31,18005.213885157915
17215,2019-01-03,32,18005.213885157915
17216,2019-01-03,33,19031.75816869831
17217,2019-01-03,34,19031.75816869831
17218,2019-01-03,35,20365.118153071435
17219,2019-01-03,36,20365.118153071435
17220,2019-01-03,37,20690.335211804573
17221,2019-01-03,38,20690.335211804573
17222,2019-01-03,39,21008.315459102076
17223,2019-01-03,40,20958.756588360477
17224,2019-01-03,41,20441.740456962703
17225,2019-01-03,42,20441.740456962703
17226,2019-01-03,43,20162.013071229896
17227,2019-01-03,44,20162.013071229896
17228,2019-01-03,45,18862.78457196475
17229,2019-01-03,46,18862.78457196475
17230,2019-01-03,47,17893.152138453617
17231,2019-01-03,48,17893.152138453617
17232,2019-01-04,1,15920.154495854691
17233,2019-01-04,2,15920.154495854691
17234,2019-01-04,3,15519.589448147015
17235,2019-01-04,4,15519.589448147015
17236,2019-01-04,5,14980.631116118275
17237,2019-01-04,6,14980.631116118275
17238,2019-01-04,7,15464.900551338354
17239,2019-01-04,8,15464.900551338354
17240,2019-01-04,9,15176.014241285642
17241,2019-01-04,10,15176.014241285642
17242,2019-01-04,11,15791.666558315403
17243,2019-01-04,12,15791.666558315403
17244,2019-01-04,13,18802.11499508696
17245,2019-01-04,14,18802.11499508696
17246,2019-01-04,15,20134.180759543127
17247,2019-01-04,16,20134.180759543127
17248,2019-01-04,17,20892.385240907268
17249,2019-01-04,18,21042.77583774901
17250,2019-01-04,19,20931.75402595278
17251,2019-01-04,20,20953.480002689266
17252,2019-01-04,21,19649.41464871318
17253,2019-01-04,22,19649.41464871318
17254,2019-01-04,23,19303.608033286924
17255,2019-01-04,24,19303.608033286924
17256,2019-01-04,25,18664.97430803408
17257,2019-01-04,26,18664.97430803408
17258,2019-01-04,27,18739.644811819362
17259,2019-01-04,28,18739.644811819362
17260,2019-01-04,29,19048.803740353815
17261,2019-01-04,30,19048.803740353815
17262,2019-01-04,31,19069.6713491442
17263,2019-01-04,32,19069.6713491442
17264,2019-01-04,33,19610.806477603834
17265,2019-01-04,34,19610.806477603834
17266,2019-01-04,35,20668.391257955394
17267,2019-01-04,36,20668.391257955394
17268,2019-01-04,37,21296.579220379623
17269,2019-01-04,38,21296.579220379623
17270,2019-01-04,39,20054.16146149686
17271,2019-01-04,40,20029.656062535203
17272,2019-01-04,41,20147.14467730258
17273,2019-01-04,42,20147.14467730258
17274,2019-01-04,43,18818.41602628653
17275,2019-01-04,44,18818.41602628653
17276,2019-01-04,45,18034.898407254277
17277,2019-01-04,46,18034.898407254277
17278,2019-01-04,47,17200.256834659147
17279,2019-01-04,48,17200.256834659147
17280,2019-01-05,1,16013.917560979467
17281,2019-01-05,2,16013.917560979467
17282,2019-01-05,3,15044.513245044136
17283,2019-01-05,4,14936.03457650699
17284,2019-01-05,5,15007.716046301503
17285,2019-01-05,6,15007.716046301503
17286,2019-01-05,7,15289.470799779658
17287,2019-01-05,8,15289.470799779658
17288,2019-01-05,9,15462.908433773247
17289,2019-01-05,10,15462.908433773247
17290,2019-01-05,11,15432.645080502103
17291,2019-01-05,12,15486.905413255143
17292,2019-01-05,13,17331.361294209655
17293,2019-01-05,14,17595.327838410056
17294,2019-01-05,15,19068.834345105395
17295,2019-01-05,16,19126.266620011527
17296,2019-01-05,17,19684.17749186225
17297,2019-01-05,18,19684.17749186225
17298,2019-01-05,19,19840.368505566457
17299,2019-01-05,20,19913.445213259325
17300,2019-01-05,21,17794.535771809184
17301,2019-01-05,22,17794.535771809184
17302,2019-01-05,23,17352.614489892294
